Shipment-Data,Shipment-ID,FC-State,Date,Cost,MSKU,ASIN,Qty
 ,FBA16LSJ63C6,ACY2,02-25-2022, ,MSI-GP66-LEO-15-I711800H-16G512G-3070-WH,B092RY36ZL,3
 ,FBA16RMXNYH0,SCK1,06-22-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,17
 ,FBA16PSTZMMV,MCO2,05-11-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,1
 ,FBA16PSTZMMV,MCO2,05-11-2022, ,SAMSUNG-MON-T55-LC32T550FDNXZA-LNO,B086VR4QR4,1
 ,FBA16M4KVB53,BFI3,03-07-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL,B09KQYXC78,5
 ,FBA16M4KVB53,BFI3,03-07-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,4
 ,FBA16M1KDP1R,ALB1,03-04-2022, ,LG-GRAM-15-I51135G7-BC0-WH-32G,B09CKVSM3H,1
 ,FBA16M1KDP1R,ALB1,03-04-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,3
 ,FBA16QSG0Y0T,DET2,05-31-2022, ,ASUS-MON-VP349CGL,B09G94PTZR,17
 ,FBA16M4K6QSQ,PHL6,03-07-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL,B09KQYXC78,4
 ,FBA16M4K6QSQ,PHL6,03-07-2022, ,LG-GRAM-17-I71195G7-16G512G-WH,B09S3FP4VR,6
 ,FBA16PSXDSHN,DCA6,05-11-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,2
 ,FBA16NXC3VMW,SAT1,04-20-2022, ,HP-VICTUS-16-I511400H-CD0AC-3050,B09NZWSVP6,1
 ,FBA16NXC3VMW,SAT1,04-20-2022, ,LG-GRAM-16-I71165G7-16G512G-WH-SL,B09S3347W1,1
 ,FBA16NXC3VMW,SAT1,04-20-2022, ,LG-GRAM-16-I71165G7-BC0-WH-SL-2,B09KQZKBY3,1
